CHEBI:69809	MESH:C581434
CHEBI:77602	MESH:C053475
CHEBI:85785	MESH:C057130
CHEBI:69608	MESH:C568757
CHEBI:35559	MESH:C039281
CHEBI:68111	MESH:C560321
CHEBI:28981	MESH:C060402
CHEBI:63934	MESH:C028559
CHEBI:132512	MESH:C583914
CHEBI:62621	MESH:D012645
CHEBI:6047	MESH:C023889
CHEBI:18086	MESH:C001655
CHEBI:87397	MESH:D001312
CHEBI:131408	MESH:C018305
CHEBI:5128	MESH:D005479
CHEBI:51675	MESH:C545666
CHEBI:91080	MESH:C077792
CHEBI:38604	MESH:C476509
CHEBI:80572	MESH:C091387
CHEBI:3156	MESH:C027496
CHEBI:22586	MESH:D000975
CHEBI:80503	MESH:C026062
CHEBI:36547	MESH:C433018
CHEBI:28803	MESH:C024593
CHEBI:75508	MESH:C035455
CHEBI:6822	MESH:D008704
CHEBI:84585	MESH:C090126
CHEBI:135662	MESH:D014272
CHEBI:5109	MESH:D005447
CHEBI:66366	MESH:C486261
CHEBI:94390	MESH:C088307
CHEBI:136765	MESH:C008852
CHEBI:25508	MESH:D009438
CHEBI:77566	MESH:C429984
CHEBI:5363	MESH:C012999
CHEBI:65868	MESH:C521655
CHEBI:36522	MESH:C015872
CHEBI:3170	MESH:C044362
CHEBI:140158	MESH:C098103
CHEBI:27503	MESH:C008322
CHEBI:20067	MESH:C003182
CHEBI:66278	MESH:C409613
CHEBI:65633	MESH:C540202
CHEBI:44158	MESH:C053848
CHEBI:17745	MESH:C010559
CHEBI:64023	MESH:C026671
CHEBI:73339	MESH:C054938
CHEBI:139441	MESH:C105002
CHEBI:44143	MESH:C083858
CHEBI:53095	MESH:D048288
CHEBI:68398	MESH:C493620
CHEBI:4853	MESH:D004929
CHEBI:28476	MESH:C093383
CHEBI:53621	MESH:C011421
CHEBI:92811	MESH:D011335
CHEBI:145373	MESH:C000600259
CHEBI:53692	MESH:C053816
CHEBI:21336	MESH:C113317
CHEBI:71402	MESH:C026220
CHEBI:53000	MESH:D000939
CHEBI:55326	MESH:D010425
CHEBI:2762	MESH:D000968
CHEBI:29694	MESH:C043269
CHEBI:80885	MESH:C102487
CHEBI:90599	MESH:C079641
CHEBI:134839	MESH:C014147
CHEBI:73269	MESH:C514781
CHEBI:86090	MESH:C043401
CHEBI:17871	MESH:C047158
CHEBI:3095	MESH:D001645
CHEBI:82479	MESH:C035089
CHEBI:31781	MESH:D061466
CHEBI:9889	MESH:C054306
CHEBI:33148	MESH:C523499
CHEBI:85260	MESH:C017186
CHEBI:28572	MESH:C084826
CHEBI:3802	MESH:C516710
CHEBI:142625	MESH:C065785
CHEBI:49976	MESH:C016837
CHEBI:46979	MESH:C064769
CHEBI:35704	MESH:C002315
CHEBI:2877	MESH:D001218
CHEBI:77940	MESH:C012708
CHEBI:66457	MESH:C482959
CHEBI:79969	MESH:C067181
CHEBI:134754	MESH:C571835
CHEBI:70744	MESH:C015248
CHEBI:31938	MESH:C005414
CHEBI:93749	MESH:D006604
CHEBI:51432	MESH:C454805
CHEBI:53731	MESH:C063421
CHEBI:61282	MESH:C473995
CHEBI:5959	MESH:D000077405
CHEBI:85102	MESH:C073601
CHEBI:6149	MESH:C476513
CHEBI:53806	MESH:C025319
CHEBI:582	MESH:C476393
CHEBI:131999	MESH:C521377
CHEBI:17852	MESH:C028143
CHEBI:63886	MESH:C042516
CHEBI:61668	MESH:C080669
CHEBI:83504	MESH:C528640
CHEBI:84971	MESH:C040155
CHEBI:37527	MESH:D000143
CHEBI:9907	MESH:D014580
CHEBI:17660	MESH:C001478
CHEBI:49809	MESH:C044524
CHEBI:16881	MESH:C030374
CHEBI:15430	MESH:C028025
CHEBI:135296	MESH:D008357
CHEBI:135000	MESH:C004562
CHEBI:164200	MESH:D014260
CHEBI:81836	MESH:C013707
CHEBI:73512	MESH:C060736
CHEBI:75966	MESH:C014753
CHEBI:35709	MESH:C035126
CHEBI:52270	MESH:C098118
CHEBI:57966	MESH:D015091
CHEBI:41531	MESH:C017507
CHEBI:18152	MESH:C040015
CHEBI:82343	MESH:C010229
CHEBI:73900	MESH:C092210
CHEBI:135559	MESH:C037836
CHEBI:82356	MESH:C012279
CHEBI:78538	MESH:C547076
CHEBI:64860	MESH:C038448
CHEBI:67453	MESH:C075123
CHEBI:60285	MESH:C094877
CHEBI:52118	MESH:C528836
CHEBI:38221	MESH:C056933
CHEBI:80034	MESH:C510756
CHEBI:30764	MESH:C032948
CHEBI:69093	MESH:C554447
CHEBI:135236	MESH:C100223
CHEBI:48496	MESH:C040239
CHEBI:35242	MESH:C073881
CHEBI:135230	MESH:C100141
CHEBI:73044	MESH:C473384
CHEBI:84873	MESH:C035723
CHEBI:71314	MESH:C061014
CHEBI:87820	MESH:C092396
CHEBI:134184	MESH:C421324
CHEBI:68885	MESH:C569545
CHEBI:27093	MESH:D014233
CHEBI:27726	MESH:C092719
CHEBI:62480	MESH:C104880
CHEBI:46077	MESH:C045575
CHEBI:71415	MESH:D009582
CHEBI:141525	MESH:C042554
CHEBI:34235	MESH:C105195
CHEBI:9695	MESH:C004345
CHEBI:15671	MESH:C029768
CHEBI:7781	MESH:C065886
CHEBI:142538	MESH:C002965
CHEBI:34852	MESH:D008917
CHEBI:34620	MESH:C005266
CHEBI:38880	MESH:C096226
CHEBI:49108	MESH:C001123
CHEBI:5254	MESH:D038983
CHEBI:134769	MESH:C100111
CHEBI:6211	MESH:C004851
CHEBI:30183	MESH:C014849
CHEBI:84407	MESH:C078281
CHEBI:77954	MESH:C093973
CHEBI:87647	MESH:D014048
CHEBI:87668	MESH:C006898
CHEBI:9670	MESH:C005900
CHEBI:64455	MESH:C032365
CHEBI:44383	MESH:C002352
CHEBI:16364	MESH:C065452
CHEBI:92918	MESH:C458525
CHEBI:60286	MESH:C057561
CHEBI:100147	MESH:D009268
CHEBI:81810	MESH:C025234
CHEBI:73086	MESH:C485321
CHEBI:70723	MESH:C484369
CHEBI:65990	MESH:C558133
CHEBI:70456	MESH:C554317
CHEBI:125546	MESH:C028819
CHEBI:70007	MESH:C008751
CHEBI:38465	MESH:C044644
CHEBI:135882	MESH:C056625
CHEBI:28099	MESH:C042026
CHEBI:7678	MESH:C000201
CHEBI:135091	MESH:C007942
CHEBI:135649	MESH:C052036
CHEBI:134105	MESH:C002992
CHEBI:59902	MESH:C413685
CHEBI:51881	MESH:C475798
CHEBI:16469	MESH:D004958
CHEBI:8884	MESH:D000077123
CHEBI:94573	MESH:C511404
CHEBI:139334	MESH:C109487
CHEBI:16767	MESH:C014464
CHEBI:3875	MESH:C014423
CHEBI:83520	MESH:C019442
CHEBI:35330	MESH:C005637
CHEBI:65699	MESH:C408302
CHEBI:37946	MESH:C007558
CHEBI:81752	MESH:C433343
CHEBI:49662	MESH:D007213
CHEBI:38957	MESH:C586730
CHEBI:9194	MESH:C067028
CHEBI:84268	MESH:C008664
CHEBI:74354	MESH:C478392
CHEBI:135232	MESH:C100240
CHEBI:52641	MESH:C047269
CHEBI:28918	MESH:D004837
CHEBI:6444	MESH:D007981
CHEBI:62825	MESH:C028381
CHEBI:82030	MESH:C010511
CHEBI:14272	MESH:C075898
CHEBI:31675	MESH:C033014
CHEBI:135166	MESH:C045064
CHEBI:68253	MESH:C550374
CHEBI:144127	MESH:C480398
CHEBI:17780	MESH:D006916
CHEBI:31864	MESH:C031926
CHEBI:82004	MESH:C082784
CHEBI:38866	MESH:C015531
CHEBI:93615	MESH:C510603
CHEBI:77042	MESH:C042294
CHEBI:80740	MESH:C000589165
CHEBI:3846	MESH:C045978
CHEBI:77701	MESH:C008640
CHEBI:141319	MESH:C008435
CHEBI:134846	MESH:C109640
CHEBI:35701	MESH:D004952
CHEBI:19812	MESH:C002537
CHEBI:88591	MESH:C023006
CHEBI:15336	MESH:C015654
CHEBI:48560	MESH:D015259
CHEBI:75146	MESH:C041105
CHEBI:65497	MESH:C494537
CHEBI:91265	MESH:C442858
CHEBI:39476	MESH:C000275
CHEBI:34197	MESH:C027311
CHEBI:50642	MESH:C541501
CHEBI:9024	MESH:C104803
CHEBI:141364	MESH:C015261
CHEBI:2124	MESH:C107259
CHEBI:80125	MESH:C455261
CHEBI:135800	MESH:C038877
CHEBI:520527	MESH:C007584
CHEBI:135772	MESH:C100122
CHEBI:92694	MESH:C076207
CHEBI:1159	MESH:C531866
CHEBI:138742	MESH:C013440
CHEBI:73025	MESH:C027333
CHEBI:135482	MESH:C002376
CHEBI:82329	MESH:C041403
CHEBI:16040	MESH:D003596
CHEBI:37894	MESH:C000214
CHEBI:135155	MESH:C023718
CHEBI:82505	MESH:C035987
CHEBI:135566	MESH:C013769
CHEBI:34240	MESH:C121479
CHEBI:93472	MESH:C497936
CHEBI:71952	MESH:C531198
CHEBI:68036	MESH:C559016
CHEBI:137472	MESH:C101420
CHEBI:92258	MESH:C402610
CHEBI:135384	MESH:D009564
CHEBI:15854	MESH:D011803
CHEBI:69243	MESH:C562125
CHEBI:68710	MESH:C466666
CHEBI:85966	MESH:C088408
CHEBI:26455	MESH:D011758
CHEBI:135865	MESH:C500403
CHEBI:25442	MESH:D009183
CHEBI:68503	MESH:C033274
CHEBI:48498	MESH:C042983
CHEBI:32404	MESH:C425152
CHEBI:38958	MESH:D026121
CHEBI:31457	MESH:C021170
CHEBI:66630	MESH:C104497
CHEBI:82250	MESH:C012203
CHEBI:66135	MESH:C099201
CHEBI:27861	MESH:C117625
CHEBI:81164	MESH:C051836
CHEBI:17371	MESH:C041661
CHEBI:1996	MESH:C119592
CHEBI:65485	MESH:C098641
CHEBI:90776	MESH:C571448
CHEBI:2608	MESH:C069868
CHEBI:239133	MESH:C034596
CHEBI:34468	MESH:D018750
CHEBI:74123	MESH:C047656
CHEBI:26864	MESH:C561418
CHEBI:31005	MESH:C069155
CHEBI:16670	MESH:D010455
CHEBI:31599	MESH:C010725
CHEBI:52151	MESH:C038323
CHEBI:30958	MESH:C024336
CHEBI:94661	MESH:C037020
CHEBI:28139	MESH:C000849
CHEBI:15741	MESH:D019802
CHEBI:17203	MESH:D011392
CHEBI:28410	MESH:C021112
CHEBI:87404	MESH:C487951
CHEBI:87112	MESH:C546377
CHEBI:48341	MESH:C042581
